date,ES,NQ,ZN
2019-10-23,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-10-24,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-10-25,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-10-29,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-11-01,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-11-04,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-11-05,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-11-06,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-11-07,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-11-08,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-11-11,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-11-12,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-11-13,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-11-14,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-11-18,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-11-25,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-11-26,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-11-27,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-12-02,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-12-03,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-12-04,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-12-05,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-12-06,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-12-10,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-12-11,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-12-12,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-12-23,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-12-27,0.7173201753889161,-5.33099736805443,4.184744996857731
2020-01-03,0.7173201753889161,-5.33099736805443,4.184744996857731
2020-01-06,0.7173201753889161,-5.33099736805443,4.184744996857731
2020-01-07,0.7173201753889161,-5.33099736805443,4.184744996857731
2020-01-08,0.7173201753889161,-5.33099736805443,4.184744996857731
2020-01-09,0.7173201753889161,-5.33099736805443,4.184744996857731
2020-01-10,0.7173201753889161,-5.33099736805443,4.184744996857731
2020-01-13,0.7173201753889161,-5.33099736805443,4.184744996857731
2020-01-14,0.7173201753889161,-5.33099736805443,4.184744996857731
2020-01-15,0.7173201753889161,-5.33099736805443,4.184744996857731
2020-01-16,0.7173201753889161,-5.33099736805443,4.184744996857731
2020-01-21,0.7173201753889161,-5.33099736805443,4.184744996857731
2020-01-24,0.7173201753889161,-5.33099736805443,4.184744996857731
2020-01-27,0.7173201753889161,-5.33099736805443,4.184744996857731
2020-01-28,0.7173201753889161,-5.33099736805443,4.184744996857731
2020-01-29,0.7173201753889161,-5.33099736805443,4.184744996857731
2020-02-03,0.7173201753889161,-5.33099736805443,4.184744996857731
